,0
0,0.47265625
1,0.51953125
2,0.4765625
3,0.484375
4,0.5234375
5,0.51953125
6,0.47265625
7,0.4765625
8,0.5078125
9,0.47265625
10,0.52734375
11,0.5078125
12,0.51171875
13,0.5
14,0.50390625
15,0.48046875
16,0.55859375
17,0.4921875
18,0.53125
19,0.421875
20,0.51171875
21,0.49609375
22,0.515625
23,0.5
24,0.4609375
25,0.5078125
26,0.51953125
27,0.48828125
28,0.51953125
29,0.53515625
30,0.55078125
31,0.44921875
32,0.5234375
33,0.51953125
34,0.53125
35,0.50390625
36,0.49609375
37,0.52734375
38,0.53125
39,0.51953125
40,0.4296875
41,0.47265625
42,0.5234375
43,0.5390625
44,0.5390625
45,0.49609375
46,0.53515625
47,0.53515625
48,0.5
49,0.53515625
50,0.58203125
51,0.5859375
52,0.49609375
53,0.46484375
54,0.5234375
55,0.578125
56,0.4609375
57,0.51171875
58,0.51171875
59,0.53125
60,0.46875
61,0.47265625
62,0.51171875
63,0.48828125
64,0.51171875
65,0.5390625
66,0.49609375
67,0.48046875
68,0.484375
69,0.5078125
70,0.5
71,0.53125
72,0.5234375
73,0.53515625
74,0.5078125
75,0.53125
76,0.4453125
77,0.4921875
78,0.45703125
79,0.484375
80,0.453125
81,0.5
82,0.4765625
83,0.484375
84,0.48828125
85,0.5234375
86,0.484375
87,0.49609375
88,0.5078125
89,0.5625
90,0.4765625
91,0.52734375
92,0.53515625
93,0.484375
94,0.515625
95,0.48828125
96,0.453125
97,0.45703125
98,0.51953125
99,0.4765625
100,0.49609375
101,0.515625
102,0.43359375
103,0.5390625
104,0.5
105,0.55859375
106,0.48828125
107,0.515625
108,0.515625
109,0.484375
110,0.53515625
111,0.55078125
112,0.49609375
113,0.5078125
114,0.48828125
115,0.51953125
116,0.51953125
117,0.53125
118,0.48046875
119,0.546875
120,0.50390625
121,0.44921875
122,0.53125
123,0.546875
124,0.45703125
125,0.484375
126,0.55859375
127,0.4921875
128,0.48828125
129,0.48046875
130,0.41796875
131,0.53125
132,0.48046875
133,0.59375
134,0.4765625
135,0.5234375
136,0.5625
137,0.5234375
138,0.48046875
139,0.55078125
140,0.4609375
141,0.47265625
142,0.5390625
143,0.5390625
144,0.50390625
145,0.55859375
146,0.5546875
147,0.45703125
148,0.4765625
149,0.51171875
150,0.5625
151,0.46484375
152,0.4453125
153,0.48828125
154,0.546875
155,0.5703125
156,0.4921875
157,0.5390625
158,0.47265625
159,0.5078125
160,0.4765625
161,0.515625
162,0.5234375
163,0.48828125
164,0.51953125
165,0.5078125
166,0.53125
167,0.4609375
168,0.5546875
169,0.48828125
170,0.48828125
171,0.46875
172,0.51171875
173,0.44140625
174,0.46484375
175,0.5234375
176,0.49609375
177,0.4609375
178,0.4921875
179,0.49609375
180,0.5078125
181,0.44921875
182,0.50390625
183,0.46484375
184,0.546875
185,0.52734375
186,0.48828125
187,0.515625
188,0.4765625
189,0.4375
190,0.453125
191,0.4375
192,0.48046875
193,0.41015625
194,0.53125
195,0.484375
196,0.45703125
197,0.49609375
198,0.49609375
199,0.4921875
200,0.48046875
201,0.5
202,0.53125
203,0.41015625
204,0.54296875
205,0.51953125
206,0.5
207,0.48828125
208,0.4921875
209,0.515625
210,0.4609375
211,0.54296875
212,0.52734375
213,0.49609375
214,0.4375
215,0.49609375
216,0.578125
217,0.546875
218,0.53515625
219,0.50390625
220,0.5078125
221,0.54296875
222,0.55078125
223,0.49609375
224,0.50390625
225,0.5234375
226,0.4375
227,0.5234375
228,0.4453125
229,0.48828125
230,0.53125
231,0.48046875
232,0.5078125
233,0.47265625
234,0.46875
235,0.5390625
236,0.55078125
237,0.5546875
238,0.49609375
239,0.58203125
240,0.453125
241,0.484375
242,0.44921875
243,0.5
244,0.45703125
245,0.4765625
246,0.51171875
247,0.5078125
248,0.5
249,0.48828125
250,0.48828125
251,0.5234375
252,0.5703125
253,0.5078125
254,0.48046875
255,0.45703125
256,0.4765625
257,0.45703125
258,0.51171875
259,0.4140625
260,0.4765625
261,0.46875
262,0.48046875
263,0.4609375
264,0.51953125
265,0.4375
266,0.4453125
267,0.4453125
268,0.50390625
269,0.58203125
270,0.50390625
271,0.51171875
272,0.46875
273,0.4375
274,0.4375
275,0.4296875
276,0.546875
277,0.5
278,0.5
279,0.5
280,0.43359375
281,0.47265625
282,0.48828125
283,0.53515625
284,0.5390625
285,0.46484375
286,0.484375
287,0.52734375
288,0.4609375
289,0.49609375
290,0.484375
291,0.4765625
292,0.5234375
293,0.5078125
294,0.48046875
295,0.4921875
296,0.48046875
297,0.515625
298,0.5
299,0.53515625
300,0.4921875
301,0.53515625
302,0.515625
303,0.44921875
304,0.46484375
305,0.50390625
306,0.53125
307,0.5078125
308,0.50390625
309,0.515625
310,0.5078125
311,0.4765625
312,0.515625
313,0.42578125
314,0.515625
315,0.53125
316,0.44140625
317,0.48046875
318,0.5234375
319,0.44921875
320,0.5234375
321,0.4765625
322,0.41796875
323,0.49609375
324,0.5234375
325,0.5
326,0.50390625
327,0.625
328,0.50390625
329,0.52734375
330,0.47265625
331,0.5234375
332,0.48046875
333,0.46484375
334,0.52734375
335,0.42578125
336,0.53515625
337,0.44921875
338,0.41015625
339,0.5390625
340,0.4765625
341,0.51171875
342,0.48828125
343,0.44140625
344,0.4921875
345,0.578125
346,0.44921875
347,0.53125
348,0.46484375
349,0.5
350,0.4765625
351,0.49609375
352,0.5
353,0.53125
354,0.52734375
355,0.5078125
356,0.52734375
357,0.53515625
358,0.45703125
359,0.4453125
360,0.5234375
361,0.53125
362,0.5234375
363,0.421875
364,0.4609375
365,0.4921875
366,0.47265625
367,0.54296875
368,0.51171875
369,0.46875
370,0.484375
371,0.484375
372,0.453125
373,0.5078125
374,0.46484375
375,0.48046875
376,0.421875
377,0.4609375
378,0.5234375
379,0.55859375
380,0.40234375
381,0.5390625
382,0.484375
383,0.49609375
384,0.57421875
385,0.4765625
386,0.46484375
387,0.47265625
388,0.5
389,0.45703125
390,0.5234375
391,0.5234375
392,0.53515625
393,0.5546875
394,0.53515625
395,0.4609375
396,0.46484375
397,0.50390625
398,0.453125
399,0.51953125
400,0.515625
401,0.484375
402,0.5
403,0.5703125
404,0.5390625
405,0.421875
406,0.5078125
407,0.52734375
408,0.51171875
409,0.45703125
410,0.515625
411,0.5390625
412,0.453125
413,0.49609375
414,0.46484375
415,0.4609375
416,0.5234375
417,0.609375
418,0.47265625
419,0.48828125
420,0.44921875
421,0.453125
422,0.5
423,0.5
424,0.48046875
425,0.484375
426,0.43359375
427,0.51171875
428,0.48046875
429,0.47265625
430,0.48828125
431,0.55078125
432,0.5703125
433,0.52734375
434,0.52734375
435,0.484375
436,0.453125
437,0.515625
438,0.546875
439,0.484375
440,0.46484375
441,0.49609375
442,0.5234375
443,0.47265625
444,0.56640625
445,0.47265625
446,0.42578125
447,0.4453125
448,0.4921875
449,0.45703125
450,0.49609375
451,0.484375
452,0.53125
453,0.44140625
454,0.5078125
455,0.58984375
456,0.5859375
457,0.40234375
458,0.515625
459,0.5546875
460,0.48828125
461,0.52734375
462,0.49609375
463,0.54296875
464,0.51953125
465,0.49609375
466,0.4453125
467,0.546875
468,0.48046875
469,0.484375
470,0.53515625
471,0.515625
472,0.53515625
473,0.51171875
474,0.47265625
475,0.546875
476,0.50390625
477,0.53125
478,0.5078125
479,0.515625
480,0.5234375
481,0.51171875
482,0.5078125
483,0.54296875
484,0.54296875
485,0.5390625
486,0.5
487,0.51953125
488,0.48046875
489,0.4140625
490,0.4921875
491,0.49609375
492,0.5703125
493,0.44921875
494,0.4609375
495,0.47265625
496,0.51953125
497,0.48828125
498,0.55859375
499,0.51171875
500,0.4765625
501,0.48828125
502,0.52734375
503,0.52734375
504,0.51171875
505,0.515625
506,0.4765625
507,0.52734375
508,0.45703125
509,0.4453125
510,0.4921875
511,0.45703125
512,0.44921875
513,0.5078125
514,0.5078125
515,0.4453125
516,0.51953125
517,0.44921875
518,0.50390625
519,0.515625
520,0.49609375
521,0.46875
522,0.4921875
523,0.53125
524,0.5546875
525,0.40625
526,0.49609375
527,0.5703125
528,0.546875
529,0.5078125
530,0.57421875
531,0.52734375
532,0.42578125
533,0.43359375
534,0.54296875
535,0.48046875
536,0.46875
537,0.50390625
538,0.515625
539,0.5390625
540,0.453125
541,0.54296875
542,0.46484375
543,0.51953125
544,0.49609375
545,0.5078125
546,0.4921875
547,0.5703125
548,0.4296875
549,0.4609375
550,0.50390625
551,0.5078125
552,0.4921875
553,0.46875
554,0.5234375
555,0.45703125
556,0.51171875
557,0.49609375
558,0.4921875
559,0.4375
560,0.49609375
561,0.48046875
562,0.48828125
563,0.47265625
564,0.5390625
565,0.55859375
566,0.53125
567,0.53515625
568,0.49609375
569,0.44140625
570,0.48046875
571,0.484375
572,0.5078125
573,0.453125
574,0.51953125
575,0.51171875
576,0.55859375
577,0.53125
578,0.50390625
579,0.54296875
580,0.515625
581,0.4453125
582,0.48828125
583,0.50390625
584,0.515625
585,0.53125
586,0.5234375
587,0.42578125
588,0.4609375
589,0.46875
590,0.5078125
591,0.44921875
592,0.5
593,0.46875
594,0.4765625
595,0.53515625
596,0.48046875
597,0.515625
598,0.515625
599,0.515625
600,0.453125
601,0.4921875
602,0.55859375
603,0.49609375
604,0.50390625
605,0.57421875
606,0.48828125
607,0.4453125
608,0.45703125
609,0.484375
610,0.421875
611,0.52734375
612,0.51953125
613,0.46875
614,0.54296875
615,0.4921875
616,0.5
617,0.55859375
618,0.421875
619,0.49609375
620,0.54296875
621,0.48046875
622,0.49609375
623,0.53125
624,0.55859375
625,0.4921875
626,0.49609375
627,0.4453125
628,0.51171875
629,0.4453125
630,0.4921875
631,0.48828125
632,0.5078125
633,0.5390625
634,0.53515625
635,0.49609375
636,0.5
637,0.46484375
638,0.48828125
639,0.5234375
640,0.51953125
641,0.484375
642,0.484375
643,0.43359375
644,0.51953125
645,0.4609375
646,0.51953125
647,0.50390625
648,0.5078125
649,0.515625
650,0.52734375
651,0.5234375
652,0.47265625
653,0.46484375
654,0.44921875
655,0.5078125
656,0.48046875
657,0.5078125
658,0.45703125
659,0.53125
660,0.5
661,0.52734375
662,0.453125
663,0.4921875
664,0.4921875
665,0.4921875
666,0.55078125
667,0.4453125
668,0.484375
669,0.57421875
670,0.4921875
671,0.50390625
672,0.546875
673,0.50390625
674,0.47265625
675,0.5859375
676,0.484375
677,0.5546875
678,0.48828125
679,0.5859375
680,0.47265625
681,0.4453125
682,0.5078125
683,0.546875
684,0.54296875
685,0.4765625
686,0.46484375
687,0.4921875
688,0.5390625
