x;y
0,0001;4,16E-27
0,0002;4,27E-27
0,0003;4,39E-27
0,0004;4,51E-27
0,0005;4,63E-27
0,0006;4,76E-27
0,0007;4,89E-27
0,0008;5,02E-27
0,0009;5,16E-27
0,001;5,30E-27
0,0011;5,45E-27
0,0012;5,59E-27
0,0013;5,75E-27
0,0014;5,90E-27
0,0015;6,07E-27
0,0016;6,23E-27
0,0017;6,40E-27
0,0018;6,58E-27
0,0019;6,76E-27
0,002;6,94E-27
0,0021;7,13E-27
0,0022;7,32E-27
0,0023;7,52E-27
0,0024;7,73E-27
0,0025;7,94E-27
0,0026;8,16E-27
0,0027;8,38E-27
0,0028;8,61E-27
0,0029;8,84E-27
0,003;9,08E-27
0,0031;9,33E-27
0,0032;9,59E-27
0,0033;9,85E-27
0,0034;1,01E-26
0,0035;1,04E-26
0,0036;1,07E-26
0,0037;1,10E-26
0,0038;1,13E-26
0,0039;1,16E-26
0,004;1,19E-26
0,0041;1,22E-26
0,0042;1,25E-26
0,0043;1,29E-26
0,0044;1,32E-26
0,0045;1,36E-26
0,0046;1,40E-26
0,0047;1,43E-26
0,0048;1,47E-26
0,0049;1,51E-26
0,005;1,55E-26
0,0051;1,60E-26
0,0052;1,64E-26
0,0053;1,68E-26
0,0054;1,73E-26
0,0055;1,78E-26
0,0056;1,82E-26
0,0057;1,87E-26
0,0058;1,92E-26
0,0059;1,98E-26
0,006;2,03E-26
0,0061;2,08E-26
0,0062;2,14E-26
0,0063;2,20E-26
0,0064;2,26E-26
0,0065;2,32E-26
0,0066;2,38E-26
0,0067;2,45E-26
0,0068;2,51E-26
0,0069;2,58E-26
0,007;2,65E-26
0,0071;2,72E-26
0,0072;2,80E-26
0,0073;2,87E-26
0,0074;2,95E-26
0,0075;3,03E-26
0,0076;3,11E-26
0,0077;3,19E-26
0,0078;3,28E-26
0,0079;3,37E-26
0,008;3,46E-26
0,0081;3,55E-26
0,0082;3,65E-26
0,0083;3,75E-26
0,0084;3,85E-26
0,0085;3,95E-26
